title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Product Designer,"An Industrial Designer creates and improves product designs, focusing on aesthetics, functionality, and user experience to produce innovative and marketable products.",Industrial design principles CAD and 3D modeling Prototyping and testing,$64K-$111K,5 to 11 Years,Port of Spain,Trinidad and Tobago,Temporary,PepsiCo,2023-03-19,prototyping,1,0,Design & UI/UX,2,Application Development
Network Technician,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",Network security Cybersecurity Intrusion detection Security analysis Firewall management,$61K-$106K,4 to 13 Years,Niamey,Niger,Contract,"Fidelity Investments, Inc.",2021-10-31,"cybersecurity, firewall, security, network security",4,4,Network & Security,4,Network & Security
Aerospace Engineer,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.","Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",$60K-$125K,1 to 8 Years,Mexico City,Mexico,Temporary,NCR,2022-06-12,,0,2,Marketing & Architecture,0,Engineering & Systems
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$56K-$116K,1 to 12 Years,Amman,Jordan,Temporary,Titan Company,2023-09-09,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving",8,3,Data & Analytics,1,Data & Business Analytics
Data Scientist,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,$58K-$103K,5 to 10 Years,Jakarta,Indonesia,Full-Time,Ceconomy AG (Formerly Metro AG),2022-10-21,"machine learning, python, deep learning",3,2,Marketing & Architecture,0,Engineering & Systems
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$60K-$125K,4 to 11 Years,Nassau,"Bahamas, The",Intern,Exxon Mobil,2023-06-08,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Research Analyst,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail",$59K-$123K,5 to 14 Years,Lom̩,Togo,Intern,Barclays,2022-09-20,"communication, critical thinking, python, tableau, data visualization, data analysis, problem solving",7,3,Data & Analytics,1,Data & Business Analytics
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",$56K-$95K,2 to 12 Years,Dushanbe,Tajikistan,Contract,"Lyft, Inc.",2023-09-01,"reporting, stakeholder, database, sql, data modeling, business intelligence, analytical, tableau, data visualization, data analysis, problem solving",11,3,Data & Analytics,1,Data & Business Analytics
Structural Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,$59K-$89K,3 to 14 Years,Castries,St. Lucia,Full-Time,Telstra Corporation,2023-05-14,"communication, problem solving",2,2,Marketing & Architecture,0,Engineering & Systems
Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail",$59K-$117K,3 to 11 Years,Sanaa,Yemen,Part-Time,Dominion Energy,2021-12-14,"communication, data visualization",2,3,Data & Analytics,1,Data & Business Analytics
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$65K-$84K,2 to 14 Years,Torshavn,Faroe Islands,Full-Time,Iluka Resources,2021-12-30,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Supply Chain Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,$65K-$89K,3 to 9 Years,"Washington, D.C.",USA,Full-Time,Eversource Energy,2022-05-11,"analytics, problem solving",2,2,Marketing & Architecture,5,Testing & Performance
Mechanical Engineer,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.",Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,$59K-$123K,1 to 12 Years,Vientiane,Lao PDR,Full-Time,Ally Financial,2021-12-28,problem solving,1,2,Marketing & Architecture,5,Testing & Performance
Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,$63K-$117K,4 to 11 Years,Niamey,Niger,Contract,Foot Locker,2022-11-21,,0,2,Marketing & Architecture,0,Engineering & Systems
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",$59K-$87K,1 to 13 Years,Charlotte Amalie,Virgin Islands (U.S.),Contract,International Business Machines,2021-09-19,"creativity, adobe, illustrator",3,0,Design & UI/UX,3,UI/UX Design
Network Administrator,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.","Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail",$65K-$100K,0 to 8 Years,Cockburn Town,Turks and Caicos Islands,Part-Time,Jubilant Foodworks,2023-03-09,"network monitoring, cisco, infrastructure, switching, routing, collaboration, wireless, networking, security, problem solving",10,4,Network & Security,4,Network & Security
